time,seconds_elapsed,z,y,x
1713313080571836400,0.04183642578125,0,0,0
1713313080581371400,0.051371337890625,0.010332107543945312,-0.013223409652709961,0.14880523085594177
1713313080590906400,0.06090625,0.05424785614013672,-0.040418386459350586,0.26986247301101685
1713313080600441300,0.07044140625,0.07436847686767578,-0.11118388175964355,0.3659246563911438
1713313080609976300,0.079976318359375,0.04424858093261719,-0.25551629066467285,0.3970373272895813
1713313080619511300,0.08951123046875,0.1860818862915039,-0.38645505905151367,0.22556841373443604
1713313080629046300,0.09904638671875,0.43485069274902344,-0.44400978088378906,-0.04939553141593933
1713313080638581200,0.108581298828125,0.7503204345703125,-0.43407678604125977,-0.33442550897598267
1713313080648116200,0.1181162109375,1.0909156799316406,-0.3673543930053711,-0.6084715127944946
1713313080657651200,0.127651123046875,1.3364982604980469,-0.23758983612060547,-0.8342683911323547
1713313080667186200,0.137186279296875,1.4960613250732422,-0.1870417594909668,-0.8000631928443909
1713313080676721200,0.14672119140625,1.5201530456542969,-0.21185064315795898,-0.5806536674499512
1713313080686256000,0.156256103515625,1.3942508697509766,-0.33336639404296875,-0.264912486076355
1713313080695791000,0.165791015625,1.0779151916503906,-0.4019906520843506,0.028860852122306824
1713313080705326000,0.175326171875,0.6960678100585938,-0.4239633083343506,0.15384915471076965
1713313080714861000,0.184861083984375,0.26810741424560547,-0.322873592376709,0.12191222608089447
1713313080724396000,0.19439599609375,-0.14699077606201172,-0.13079261779785156,0.08740439265966415
1713313080733931000,0.203930908203125,-0.5549421310424805,0.048358917236328125,0.1893884837627411
1713313080743466000,0.213466064453125,-0.8609418869018555,0.1700444221496582,0.35035136342048645
1713313080753001000,0.2230009765625,-1.1678943634033203,0.21650362014770508,0.5911235809326172
1713313080762536000,0.232535888671875,-1.412978172302246,0.24877095222473145,0.8230418562889099
1713313080772071000,0.24207080078125,-1.4874629974365234,0.1849660873413086,0.9823505878448486
1713313080781606000,0.25160595703125,-1.4606456756591797,0.12847375869750977,0.9761271476745605
1713313080791140900,0.261140869140625,-1.2753019332885742,0.10877442359924316,0.7582862377166748
1713313080800675800,0.27067578125,-0.9673185348510742,0.10081839561462402,0.43125542998313904
1713313080810211000,0.280211181640625,-0.6592540740966797,0.08376693725585938,0.1475474238395691
1713313080819746000,0.28974609375,-0.3911561965942383,0.04901528358459473,0.015682101249694824
1713313080829281000,0.299281005859375,-0.22611713409423828,-0.0007240772247314453,-0.026442348957061768
1713313080838815700,0.308815673828125,-0.18500423431396484,-0.060358524322509766,0.10652709007263184
1713313080848351000,0.31835107421875,-0.19376754760742188,-0.14812612533569336,0.2948490381240845
1713313080857886000,0.327885986328125,-0.26325416564941406,-0.1721346378326416,0.44050851464271545
1713313080867421000,0.3374208984375,-0.4111471176147461,-0.09173178672790527,0.5104845762252808
1713313080876956000,0.346955810546875,-0.6365480422973633,0.06173563003540039,0.5719525814056396
1713313080886491000,0.356490966796875,-1.0079030990600586,0.16803860664367676,0.6978050470352173
1713313080896025900,0.36602587890625,-1.4189863204956055,0.19394421577453613,0.7865860462188721
1713313080905560800,0.375560791015625,-1.631474494934082,0.15296673774719238,0.8488630652427673
1713313080915095800,0.385095703125,-1.6945819854736328,0.11590814590454102,0.7377400994300842
1713313080924630800,0.394630859375,-1.7922463417053223,0.05301713943481445,0.6440911889076233
1713313080934165800,0.404165771484375,-1.7339277267456055,-0.010730743408203125,0.506176233291626
1713313080943700700,0.41370068359375,-1.5197553634643555,-0.06501603126525879,0.3190463185310364
1713313080953235700,0.423235595703125,-1.2585735321044922,-0.0832676887512207,0.02727319300174713
1713313080962770700,0.432770751953125,-0.9418191909790039,-0.13010811805725098,-0.2531905174255371
1713313080972305700,0.4423056640625,9.596343040466309,1.698148250579834,8.390600204467773
1713313080981840600,0.451840576171875,0.7418394088745117,1.301126480102539,3.5186092853546143
1713313080991375600,0.461375732421875,-3.353321075439453,-0.276608943939209,-1.0434513092041016
1713313081000910600,0.47091064453125,2.232924461364746,0.39183712005615234,4.920383453369141
1713313081010445600,0.480445556640625,-0.7256975173950195,0.4975321292877197,2.904566764831543
1713313081019980500,0.48998046875,1.179997444152832,1.0232899188995361,2.0799806118011475
1713313081029515500,0.499515625,0.7622213363647461,0.9806833267211914,-0.4062578082084656
1713313081039050500,0.509050537109375,-1.841970443725586,1.0523130893707275,-1.573553204536438
1713313081048585500,0.51858544921875,-2.3396387100219727,0.9187071323394775,-2.1963069438934326
1713313081058120400,0.528120361328125,-3.518209457397461,0.7447400093078613,-2.712425708770752
1713313081067655400,0.537655517578125,-3.7728519439697266,0.45511531829833984,-2.2224984169006348
1713313081077190700,0.547190673828125,-3.4073171615600586,0.38176870346069336,-1.0038642883300781
1713313081086725400,0.556725341796875,-2.6777215003967285,0.45951175689697266,-0.2206113636493683
1713313081096260400,0.56626025390625,-1.626450538635254,0.7103464603424072,1.6380211114883423
1713313081105795300,0.57579541015625,-1.0341777801513672,1.2772083282470703,3.3375439643859863
1713313081115330600,0.58533056640625,-0.922123908996582,1.4210031032562256,1.5033323764801025
1713313081124865500,0.594865478515625,-0.7050962448120117,0.9469680786132812,-0.2407454550266266
1713313081134400500,0.604400390625,0.19711017608642578,0.39937567710876465,-1.6854201555252075
1713313081143935200,0.613935302734375,1.655552864074707,0.3415536880493164,-2.2686243057250977
1713313081153470200,0.62347021484375,2.239109992980957,0.4725921154022217,-3.0725855827331543
1713313081163005400,0.63300537109375,2.251474380493164,0.5840437412261963,-2.867292642593384
1713313081172540400,0.64254052734375,1.8134727478027344,0.6827349662780762,-2.234403610229492
